"","Question","Condition","X1","X2","T1","T2","LaterOptionChosen"
"1",1,1,5,10,2,6,1
"2",1,1,5,10,2,6,1
"3",1,1,5,10,2,6,1
"4",1,1,5,10,2,6,1
"5",1,1,5,10,2,6,0
"6",1,1,5,10,2,6,0
"7",1,1,5,10,2,6,1
"8",1,1,5,10,2,6,1
"9",1,1,5,10,2,6,1
"10",1,2,5,10,2,6,1
"11",1,2,5,10,2,6,1
"12",1,2,5,10,2,6,1
"13",1,2,5,10,2,6,1
"14",1,3,5,10,2,6,0
"15",1,3,5,10,2,6,1
"16",1,3,5,10,2,6,0
"17",1,3,5,10,2,6,0
"18",1,3,5,10,2,6,1
"19",1,3,5,10,2,6,1
"20",1,4,5,10,2,6,0
"21",1,4,5,10,2,6,1
"22",1,4,5,10,2,6,1
"23",1,4,5,10,2,6,1
"24",1,4,5,10,2,6,1
"25",1,4,5,10,2,6,1
"26",1,4,5,10,2,6,1
"27",2,1,4,6,2,6,0
"28",2,1,4,6,2,6,0
"29",2,1,4,6,2,6,0
"30",2,1,4,6,2,6,0
"31",2,1,4,6,2,6,0
"32",2,1,4,6,2,6,0
"33",2,1,4,6,2,6,0
"34",2,1,4,6,2,6,0
"35",2,1,4,6,2,6,1
"36",2,2,4,6,2,6,0
"37",2,2,4,6,2,6,0
"38",2,2,4,6,2,6,1
"39",2,2,4,6,2,6,1
"40",2,3,4,6,2,6,0
"41",2,3,4,6,2,6,1
"42",2,3,4,6,2,6,0
"43",2,3,4,6,2,6,0
"44",2,3,4,6,2,6,1
"45",2,3,4,6,2,6,1
"46",2,4,4,6,2,6,0
"47",2,4,4,6,2,6,0
"48",2,4,4,6,2,6,1
"49",2,4,4,6,2,6,0
"50",2,4,4,6,2,6,0
"51",2,4,4,6,2,6,1
"52",2,4,4,6,2,6,1
"53",3,1,13,20,2,6,1
"54",3,1,13,20,2,6,1
"55",3,1,13,20,2,6,0
"56",3,1,13,20,2,6,1
"57",3,1,13,20,2,6,0
"58",3,1,13,20,2,6,0
"59",3,1,13,20,2,6,1
"60",3,1,13,20,2,6,1
"61",3,1,13,20,2,6,1
"62",3,2,13,20,2,6,1
"63",3,2,13,20,2,6,1
"64",3,2,13,20,2,6,1
"65",3,2,13,20,2,6,0
"66",3,3,13,20,2,6,0
"67",3,3,13,20,2,6,1
"68",3,3,13,20,2,6,0
"69",3,3,13,20,2,6,1
"70",3,3,13,20,2,6,1
"71",3,3,13,20,2,6,1
"72",3,4,13,20,2,6,1
"73",3,4,13,20,2,6,0
"74",3,4,13,20,2,6,1
"75",3,4,13,20,2,6,1
"76",3,4,13,20,2,6,1
"77",3,4,13,20,2,6,1
"78",3,4,13,20,2,6,1
"79",4,1,5,15,2,6,0
"80",4,1,5,15,2,6,0
"81",4,1,5,15,2,6,1
"82",4,1,5,15,2,6,0
"83",4,1,5,15,2,6,0
"84",4,1,5,15,2,6,0
"85",4,1,5,15,2,6,1
"86",4,1,5,15,2,6,1
"87",4,1,5,15,2,6,1
"88",4,2,5,15,2,6,1
"89",4,2,5,15,2,6,1
"90",4,2,5,15,2,6,1
"91",4,2,5,15,2,6,1
"92",4,3,5,15,2,6,1
"93",4,3,5,15,2,6,1
"94",4,3,5,15,2,6,1
"95",4,3,5,15,2,6,0
"96",4,3,5,15,2,6,1
"97",4,3,5,15,2,6,1
"98",4,4,5,15,2,6,1
"99",4,4,5,15,2,6,1
"100",4,4,5,15,2,6,1
"101",4,4,5,15,2,6,1
"102",4,4,5,15,2,6,1
"103",4,4,5,15,2,6,1
"104",4,4,5,15,2,6,1
"105",5,1,4,12,2,6,1
"106",5,1,4,12,2,6,0
"107",5,1,4,12,2,6,0
"108",5,1,4,12,2,6,1
"109",5,1,4,12,2,6,0
"110",5,1,4,12,2,6,0
"111",5,1,4,12,2,6,0
"112",5,1,4,12,2,6,1
"113",5,1,4,12,2,6,0
"114",5,2,4,12,2,6,1
"115",5,2,4,12,2,6,1
"116",5,2,4,12,2,6,1
"117",5,2,4,12,2,6,0
"118",5,3,4,12,2,6,1
"119",5,3,4,12,2,6,1
"120",5,3,4,12,2,6,1
"121",5,3,4,12,2,6,0
"122",5,3,4,12,2,6,1
"123",5,3,4,12,2,6,1
"124",5,4,4,12,2,6,1
"125",5,4,4,12,2,6,1
"126",5,4,4,12,2,6,1
"127",5,4,4,12,2,6,1
"128",5,4,4,12,2,6,1
"129",5,4,4,12,2,6,1
"130",5,4,4,12,2,6,1
"131",6,1,1,4,2,6,0
"132",6,1,1,4,2,6,1
"133",6,1,1,4,2,6,1
"134",6,1,1,4,2,6,0
"135",6,1,1,4,2,6,0
"136",6,1,1,4,2,6,0
"137",6,1,1,4,2,6,1
"138",6,1,1,4,2,6,1
"139",6,1,1,4,2,6,1
"140",6,2,1,4,2,6,1
"141",6,2,1,4,2,6,1
"142",6,2,1,4,2,6,1
"143",6,2,1,4,2,6,0
"144",6,3,1,4,2,6,1
"145",6,3,1,4,2,6,1
"146",6,3,1,4,2,6,1
"147",6,3,1,4,2,6,1
"148",6,3,1,4,2,6,1
"149",6,3,1,4,2,6,1
"150",6,4,1,4,2,6,0
"151",6,4,1,4,2,6,1
"152",6,4,1,4,2,6,1
"153",6,4,1,4,2,6,1
"154",6,4,1,4,2,6,1
"155",6,4,1,4,2,6,1
"156",6,4,1,4,2,6,1
"157",7,1,7,14,2,6,1
"158",7,1,7,14,2,6,1
"159",7,1,7,14,2,6,1
"160",7,1,7,14,2,6,1
"161",7,1,7,14,2,6,0
"162",7,1,7,14,2,6,0
"163",7,1,7,14,2,6,1
"164",7,2,7,14,2,6,1
"165",7,2,7,14,2,6,1
"166",7,2,7,14,2,6,1
"167",7,2,7,14,2,6,0
"168",7,3,7,14,2,6,1
"169",7,3,7,14,2,6,1
"170",7,3,7,14,2,6,1
"171",7,3,7,14,2,6,0
"172",7,3,7,14,2,6,1
"173",7,3,7,14,2,6,1
"174",7,3,7,14,2,6,0
"175",7,4,7,14,2,6,1
"176",7,4,7,14,2,6,1
"177",7,4,7,14,2,6,1
"178",7,4,7,14,2,6,1
"179",7,4,7,14,2,6,1
"180",7,4,7,14,2,6,1
"181",7,4,7,14,2,6,1
"182",8,1,8,10,2,6,0
"183",8,1,8,10,2,6,0
"184",8,1,8,10,2,6,1
"185",8,1,8,10,2,6,0
"186",8,1,8,10,2,6,0
"187",8,1,8,10,2,6,0
"188",8,1,8,10,2,6,0
"189",8,1,8,10,2,6,0
"190",8,1,8,10,2,6,1
"191",8,2,8,10,2,6,0
"192",8,2,8,10,2,6,1
"193",8,2,8,10,2,6,1
"194",8,2,8,10,2,6,0
"195",8,3,8,10,2,6,0
"196",8,3,8,10,2,6,1
"197",8,3,8,10,2,6,0
"198",8,3,8,10,2,6,0
"199",8,3,8,10,2,6,1
"200",8,3,8,10,2,6,1
"201",8,4,8,10,2,6,1
"202",8,4,8,10,2,6,1
"203",8,4,8,10,2,6,1
"204",8,4,8,10,2,6,1
"205",8,4,8,10,2,6,0
"206",8,4,8,10,2,6,1
"207",8,4,8,10,2,6,1
"208",9,1,5,10,2,3,0
"209",9,1,5,10,2,3,0
"210",9,1,5,10,2,3,0
"211",9,1,5,10,2,3,1
"212",9,1,5,10,2,3,0
"213",9,1,5,10,2,3,0
"214",9,1,5,10,2,3,1
"215",9,1,5,10,2,3,1
"216",9,1,5,10,2,3,1
"217",9,2,5,10,2,3,1
"218",9,2,5,10,2,3,1
"219",9,2,5,10,2,3,1
"220",9,2,5,10,2,3,1
"221",9,3,5,10,2,3,1
"222",9,3,5,10,2,3,1
"223",9,3,5,10,2,3,1
"224",9,3,5,10,2,3,0
"225",9,3,5,10,2,3,1
"226",9,3,5,10,2,3,1
"227",9,4,5,10,2,3,1
"228",9,4,5,10,2,3,1
"229",9,4,5,10,2,3,1
"230",9,4,5,10,2,3,1
"231",9,4,5,10,2,3,1
"232",9,4,5,10,2,3,1
"233",9,4,5,10,2,3,1
"234",10,1,5,10,2,4,0
"235",10,1,5,10,2,4,0
"236",10,1,5,10,2,4,0
"237",10,1,5,10,2,4,0
"238",10,1,5,10,2,4,0
"239",10,1,5,10,2,4,0
"240",10,1,5,10,2,4,1
"241",10,1,5,10,2,4,1
"242",10,1,5,10,2,4,1
"243",10,2,5,10,2,4,1
"244",10,2,5,10,2,4,1
"245",10,2,5,10,2,4,1
"246",10,2,5,10,2,4,0
"247",10,3,5,10,2,4,1
"248",10,3,5,10,2,4,1
"249",10,3,5,10,2,4,1
"250",10,3,5,10,2,4,1
"251",10,3,5,10,2,4,1
"252",10,3,5,10,2,4,1
"253",10,4,5,10,2,4,1
"254",10,4,5,10,2,4,1
"255",10,4,5,10,2,4,1
"256",10,4,5,10,2,4,1
"257",10,4,5,10,2,4,1
"258",10,4,5,10,2,4,1
"259",10,4,5,10,2,4,1
"260",11,1,5,10,2,5,0
"261",11,1,5,10,2,5,1
"262",11,1,5,10,2,5,1
"263",11,1,5,10,2,5,1
"264",11,1,5,10,2,5,0
"265",11,1,5,10,2,5,0
"266",11,1,5,10,2,5,1
"267",11,1,5,10,2,5,1
"268",11,1,5,10,2,5,1
"269",11,2,5,10,2,5,1
"270",11,2,5,10,2,5,1
"271",11,2,5,10,2,5,1
"272",11,2,5,10,2,5,0
"273",11,3,5,10,2,5,1
"274",11,3,5,10,2,5,0
"275",11,3,5,10,2,5,0
"276",11,3,5,10,2,5,0
"277",11,3,5,10,2,5,1
"278",11,3,5,10,2,5,1
"279",11,4,5,10,2,5,0
"280",11,4,5,10,2,5,1
"281",11,4,5,10,2,5,1
"282",11,4,5,10,2,5,1
"283",11,4,5,10,2,5,1
"284",11,4,5,10,2,5,1
"285",11,4,5,10,2,5,1
"286",12,1,5,10,3,5,0
"287",12,1,5,10,3,5,1
"288",12,1,5,10,3,5,1
"289",12,1,5,10,3,5,0
"290",12,1,5,10,3,5,0
"291",12,1,5,10,3,5,0
"292",12,1,5,10,3,5,1
"293",12,1,5,10,3,5,1
"294",12,1,5,10,3,5,1
"295",12,2,5,10,3,5,1
"296",12,2,5,10,3,5,1
"297",12,2,5,10,3,5,1
"298",12,2,5,10,3,5,1
"299",12,3,5,10,3,5,1
"300",12,3,5,10,3,5,1
"301",12,3,5,10,3,5,1
"302",12,3,5,10,3,5,1
"303",12,3,5,10,3,5,1
"304",12,3,5,10,3,5,1
"305",12,4,5,10,3,5,0
"306",12,4,5,10,3,5,1
"307",12,4,5,10,3,5,1
"308",12,4,5,10,3,5,1
"309",12,4,5,10,3,5,1
"310",12,4,5,10,3,5,1
"311",12,4,5,10,3,5,1
"312",13,1,13,20,2,3,0
"313",13,1,13,20,2,3,1
"314",13,1,13,20,2,3,0
"315",13,1,13,20,2,3,1
"316",13,1,13,20,2,3,0
"317",13,1,13,20,2,3,0
"318",13,1,13,20,2,3,1
"319",13,1,13,20,2,3,1
"320",13,1,13,20,2,3,1
"321",13,2,13,20,2,3,0
"322",13,2,13,20,2,3,1
"323",13,2,13,20,2,3,1
"324",13,2,13,20,2,3,0
"325",13,3,13,20,2,3,1
"326",13,3,13,20,2,3,1
"327",13,3,13,20,2,3,1
"328",13,3,13,20,2,3,0
"329",13,3,13,20,2,3,1
"330",13,3,13,20,2,3,1
"331",13,4,13,20,2,3,1
"332",13,4,13,20,2,3,1
"333",13,4,13,20,2,3,1
"334",13,4,13,20,2,3,1
"335",13,4,13,20,2,3,1
"336",13,4,13,20,2,3,1
"337",13,4,13,20,2,3,1
"338",14,1,13,20,2,7,1
"339",14,1,13,20,2,7,1
"340",14,1,13,20,2,7,1
"341",14,1,13,20,2,7,0
"342",14,1,13,20,2,7,0
"343",14,1,13,20,2,7,0
"344",14,1,13,20,2,7,0
"345",14,1,13,20,2,7,1
"346",14,1,13,20,2,7,1
"347",14,2,13,20,2,7,0
"348",14,2,13,20,2,7,0
"349",14,2,13,20,2,7,0
"350",14,3,13,20,2,7,1
"351",14,3,13,20,2,7,0
"352",14,3,13,20,2,7,0
"353",14,3,13,20,2,7,1
"354",14,3,13,20,2,7,1
"355",14,3,13,20,2,7,0
"356",14,4,13,20,2,7,1
"357",14,4,13,20,2,7,1
"358",14,4,13,20,2,7,1
"359",14,4,13,20,2,7,1
"360",14,4,13,20,2,7,1
"361",14,4,13,20,2,7,1
"362",15,1,13,20,4,7,0
"363",15,1,13,20,4,7,1
"364",15,1,13,20,4,7,0
"365",15,1,13,20,4,7,1
"366",15,1,13,20,4,7,0
"367",15,1,13,20,4,7,0
"368",15,1,13,20,4,7,1
"369",15,1,13,20,4,7,1
"370",15,1,13,20,4,7,1
"371",15,2,13,20,4,7,0
"372",15,2,13,20,4,7,1
"373",15,2,13,20,4,7,0
"374",15,2,13,20,4,7,0
"375",15,3,13,20,4,7,1
"376",15,3,13,20,4,7,1
"377",15,3,13,20,4,7,1
"378",15,3,13,20,4,7,0
"379",15,3,13,20,4,7,1
"380",15,3,13,20,4,7,1
"381",15,4,13,20,4,7,1
"382",15,4,13,20,4,7,1
"383",15,4,13,20,4,7,1
"384",15,4,13,20,4,7,1
"385",15,4,13,20,4,7,1
"386",15,4,13,20,4,7,1
"387",15,4,13,20,4,7,1
"388",16,1,13,20,2,5,1
"389",16,1,13,20,2,5,1
"390",16,1,13,20,2,5,1
"391",16,1,13,20,2,5,0
"392",16,1,13,20,2,5,0
"393",16,1,13,20,2,5,0
"394",16,1,13,20,2,5,1
"395",16,1,13,20,2,5,1
"396",16,1,13,20,2,5,1
"397",16,2,13,20,2,5,0
"398",16,2,13,20,2,5,0
"399",16,2,13,20,2,5,0
"400",16,2,13,20,2,5,0
"401",16,3,13,20,2,5,0
"402",16,3,13,20,2,5,1
"403",16,3,13,20,2,5,0
"404",16,3,13,20,2,5,0
"405",16,3,13,20,2,5,1
"406",16,3,13,20,2,5,1
"407",16,4,13,20,2,5,1
"408",16,4,13,20,2,5,1
"409",16,4,13,20,2,5,1
"410",16,4,13,20,2,5,1
"411",16,4,13,20,2,5,1
"412",16,4,13,20,2,5,1
"413",16,4,13,20,2,5,1
"414",16,4,13,20,2,5,0
